"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"245","Local Bus","Quincy Center Station - Mattapan Station","52 Whitwell St","4320",42.251054,-71.016004
"245","Local Bus","Quincy Center Station - Mattapan Station","529 Adams St","4326",42.254212,-71.026871
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Reservoir Rd","4327",42.254621,-71.02825
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St opp White St","4328",42.255038,-71.029611
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Greenview St","4329",42.255697,-71.031604
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd opp Grafton Ave","4331",42.257409,-71.042663
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Reservation Rd","4332",42.256339,-71.045936
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Otis St","4333",42.255582,-71.048092
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Westvale Rd","4334",42.254652,-71.049954
"245","Local Bus","Quincy Center Station - Mattapan Station","80 Edge Hill Rd","4336",42.253064,-71.052481
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Pleasant St","4337",42.251626,-71.054956
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Hazel St","4338",42.251004,-71.057536
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Badger Cir","4340",42.250854,-71.059876
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Gun Hill St","4341",42.249931,-71.063808
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Lodge St","4342",42.248943,-71.065668
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Reedsdale Rd","4343",42.247509,-71.06751
"245","Local Bus","Quincy Center Station - Mattapan Station","Reedsdale Rd @ Randolph Ave","4344",42.248574,-71.069046
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Standish Rd","4346",42.260079,-71.085422
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Windsor Rd","4347",42.260741,-71.086209
"245","Local Bus","Quincy Center Station - Mattapan Station","250 Brook Rd","4348",42.261461,-71.087765
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Brandon Rd","4349",42.262474,-71.089566
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Milton Ave","435",42.287206,-71.078788
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Briarfield Rd","4350",42.262863,-71.090993
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Blue Hills Pkwy","4351",42.262612,-71.092934
"245","Local Bus","Quincy Center Station - Mattapan Station","Blue Hills Pkwy @ Curtis Rd","4352",42.265962,-71.093672
"716","Local Bus","Cobbs Corner - Mattapan Station","Blue Hills Pkwy @ Curtis Rd","4352",42.265962,-71.093672
"245","Local Bus","Quincy Center Station - Mattapan Station","Blue Hills Pkwy @ Blue Hill Ave","4355",42.264778,-71.094304
"245","Local Bus","Quincy Center Station - Mattapan Station","Blue Hills Pkwy @ Austin St","43551",42.262972,-71.093815
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Saint Marys Rd","4358",42.262393,-71.089853
"245","Local Bus","Quincy Center Station - Mattapan Station","Opp 250 Brook Rd","4359",42.261351,-71.087952
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Charles Rd","436",42.286419,-71.079551
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd opp Windsor Rd","4360",42.260622,-71.086371
"34E","Local Bus","Walpole Center - Forest Hills Station","Washington St @ Chestnut St","43618",42.161765,-71.21596
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Lincoln St","4362",42.259238,-71.084547
"245","Local Bus","Quincy Center Station - Mattapan Station","Reedsdale Rd @ Randolph Ave","4364",42.248469,-71.069021
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Reedsdale Rd","4365",42.247533,-71.067362
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Bailey Ave","4366",42.24877,-71.065739
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Mathaurs St","4367",42.249623,-71.064182
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Nancy Rd","4368",42.250775,-71.060399
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Washington St @ Welles Ave","437",42.288092,-71.07108
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Horton Pl","4370",42.250883,-71.057858
"245","Local Bus","Quincy Center Station - Mattapan Station","Pleasant St @ Lawrence Rd","4371",42.251468,-71.055127
"245","Local Bus","Quincy Center Station - Mattapan Station","Opp 80 Edge Hill Rd","4372",42.253002,-71.052346
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd opp Westvale Rd","4373",42.254584,-71.049864
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Washington St @ Lithgow St","4374",42.289506,-71.071311
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Cedar Rd","4375",42.25541,-71.048344
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Huntington Rd","4376",42.256122,-71.046067
"245","Local Bus","Quincy Center Station - Mattapan Station","Edge Hill Rd @ Grafton Ave","4378",42.257223,-71.042799
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Robertson St","4379",42.255876,-71.032456
"26","Local Bus","Ashmont Station - Norfolk Street Loop","227 Norfolk St opp Stanton St","438",42.285267,-71.080611
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Campbell St","4380",42.255514,-71.03134
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ White St","4381",42.255031,-71.029888
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Alrick Rd","4382",42.254539,-71.028377
"245","Local Bus","Quincy Center Station - Mattapan Station","Adams St @ Adams Plaza","4383",42.253977,-71.026557
"26","Local Bus","Ashmont Station - Norfolk Street Loop","247 Norfolk St opp Capen St","439",42.284214,-71.081358
"245","Local Bus","Quincy Center Station - Mattapan Station","Opp 52 Whitwell St","4390",42.251543,-71.016965
"245","Local Bus","Quincy Center Station - Mattapan Station","Whitwell St @ Farrell St","4391",42.250405,-71.014922
"245","Local Bus","Quincy Center Station - Mattapan Station","Whitwell St @ Cranch St","4392",42.249683,-71.012628
